@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.30000305175799996
@ MUX %le 0.0
@ Q2 %le 0.332000732422
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
          "BPM.8R3.B1"         "BPM.9R3.B1"          3825.903227          3864.968238                    1      0.0568860377758                    0          0.056896956          8.686080284
          "BPM.9R3.B1"        "BPM.10R3.B1"          3864.968238          3905.431248                    1      0.0651794720013                    0          0.065207945           8.74297724
         "BPM.10R3.B1"        "BPM.11R3.B1"          3905.431248          3958.211959                    1       0.096927238183                    0          0.096962356          8.808185185
         "BPM.11R3.B1"        "BPM.12R3.B1"          3958.211959          4012.935475                    1       0.113823739807                    0          0.113805951          8.905147541
         "BPM.12R3.B1"        "BPM.13R3.B1"          4012.935475          4066.383991                    1       0.118032204403                    0          0.117978687          9.018953492
         "BPM.13R3.B1"        "BPM.14R3.B1"          4066.383991          4119.832506                    1       0.140221657186                    0          0.140233344          9.136932179
         "BPM.14R3.B1"        "BPM.15R3.B1"          4119.832506          4173.281022                    1       0.104486708962                    0          0.104534999          9.277165523
         "BPM.15R3.B1"        "BPM.16R3.B1"          4173.281022          4226.729538                    1       0.119754379817                    0          0.119752916          9.381700522
         "BPM.16R3.B1"        "BPM.17R3.B1"          4226.729538          4280.178054                    1      0.1126326972564                    0          0.112583708          9.501453438
         "BPM.17R3.B1"        "BPM.18R3.B1"          4280.178054           4333.62657                    1      0.1416147473316                    0          0.141617608          9.614037146
         "BPM.18R3.B1"        "BPM.19R3.B1"           4333.62657          4387.075086                    1       0.106842388919                    0          0.106887985          9.755654754
         "BPM.19R3.B1"        "BPM.20R3.B1"          4387.075086          4440.523602                    1       0.118998092305                    0          0.119005632          9.862542739
         "BPM.20R3.B1"        "BPM.21R3.B1"          4440.523602          4493.972118                    1        0.10996865661                    0          0.109919459          9.981548371
         "BPM.21R3.B1"        "BPM.22R3.B1"          4493.972118          4547.420634                    1       0.142167921793                    0           0.14214616          10.09146783
         "BPM.22R3.B1"        "BPM.23R3.B1"          4547.420634           4600.86915                    1       0.112565800941                    0           0.11261717          10.23361399
         "BPM.23R3.B1"        "BPM.24R3.B1"           4600.86915          4654.317666                    1       0.122712268005                    0           0.12273386          10.34623116
         "BPM.24R3.B1"        "BPM.25R3.B1"          4654.317666          4707.766181                    1      0.1079728240004                    0           0.10793071          10.46896502
         "BPM.25R3.B1"        "BPM.26R3.B1"          4707.766181          4761.214697                    1       0.141634912113                    0           0.14161094          10.57689573
         "BPM.26R3.B1"        "BPM.27R3.B1"          4761.214697          4814.663213                    1      0.1140835328196                    0           0.11412708          10.71850667
         "BPM.27R3.B1"        "BPM.28R3.B1"          4814.663213          4868.111729                    1       0.123271290967                    0           0.12329688          10.83263375
         "BPM.28R3.B1"        "BPM.29R3.B1"          4868.111729          4921.560245                    1       0.106639919076                    0           0.10659979          10.95593063
         "BPM.29R3.B1"        "BPM.30R3.B1"          4921.560245          4975.008761                    1       0.140801740162                    0           0.14075907          11.06253042
         "BPM.30R3.B1"        "BPM.31R3.B1"          4975.008761          5028.457277                    1       0.115512386282                    0           0.11555523          11.20328949
         "BPM.31R3.B1"        "BPM.32R3.B1"          5028.457277          5081.905793                    1       0.124078804145                    0           0.12411783          11.31884472
         "BPM.32R3.B1"        "BPM.33R3.B1"          5081.905793          5135.354309                    1       0.105444826272                    0           0.10541491          11.44296255
         "BPM.33R3.B1"        "BPM.34R3.B1"          5135.354309          5188.802825                    1      0.1396653171448                    0           0.13962432          11.54837746
         "BPM.34R3.B1"        "BPM.33L4.B1"          5188.802825           5242.25134                    1      0.1168168714402                    0           0.11684953          11.68800178
         "BPM.33L4.B1"        "BPM.32L4.B1"           5242.25134          5295.699856                    1       0.125139741855                    0           0.12517871          11.80485131
         "BPM.32L4.B1"        "BPM.31L4.B1"          5295.699856          5349.148372                    1       0.104432944826                    0           0.10440475          11.93003002
         "BPM.31L4.B1"        "BPM.30L4.B1"          5349.148372          5402.596888                    1       0.138305836053                    0           0.13825154          12.03443477
         "BPM.30L4.B1"        "BPM.29L4.B1"          5402.596888          5456.045404                    1       0.117928473479                    0           0.11796022          12.17268631
