@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ CG %le 0.00046117720371410305
@ QG %le -1.0915692265640113
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.27L3.B1"           2230.22722                    1     0.02722781453188   6.126303935247e-10     0.02365674429232    -0.01348007172347    0.001291689546759   7.315264574527e-10  -0.0009605621570181  -0.0008635868385471       1.923858749587    0.003578961215972      0.6152680427786     0.04953381969395                    0                    0                    0                    0
         "BPM.26L3.B1"          2283.675735                    1     0.02722845290809   5.020815570047e-10     0.02207860170838    -0.01593499276343    0.001290782857258    6.21392757807e-10  -0.0009070075005448   0.0009183995745567       1.888074433627    0.003590662521281      0.3732309355785     0.04958351162182                    0                    0                    0                    0
         "BPM.25L3.B1"          2337.124251                    1     0.02721900414059   5.440355565413e-10     0.02448410281373    -0.01189129495942    0.001286487128172   5.869147432242e-10   0.0009503972183247   0.0008670607005015       1.945819757049    0.003599550466962      0.1174631574003     0.04958475902447                    0                    0                    0                    0
         "BPM.24L3.B1"          2390.572767                    1     0.02722240318206   8.519975003484e-10     0.02112666293326    -0.01716750850621    0.001286960832977   9.375825603902e-10   0.0008371468189996  -0.0009774729607792       1.868983937955    0.003589138725083      0.8609272870873     0.04946923715952                    0                    0                    0                    0
         "BPM.23L3.B1"          2444.021283                    1      0.0272117924863   1.099026961538e-09     0.02188607661404    -0.01617038344511    0.001292419100281   1.413158178549e-09  -0.0009155735604529  -0.0009121799088836       1.884352011127     0.00360060741639      0.6234086431873     0.04949309060783                    0                    0                    0                    0
         "BPM.22L3.B1"          2497.469799                    1     0.02721160239097   1.337625657549e-09      0.0198520242265    -0.01861097629881    0.001293292642163    1.63525190087e-09  -0.0009634768173427   0.0008627388253208       1.845369048206    0.003587817297255       0.382974371306     0.04946089116211                    0                    0                    0                    0
         "BPM.21L3.B1"          2550.918315                    1     0.02721933432338   1.031750359303e-09     0.02274646221131    -0.01494960259932    0.001296949362023   1.241646885254e-09    0.000911144199273   0.0009229809834358        1.90266647904    0.003580558242268       0.125765691553     0.04946950767898                    0                    0                    0                    0
         "BPM.20L3.B1"          2604.366831                    1     0.02721609275711    6.28601491851e-10     0.01842154039446    -0.02003403490211    0.001296245723404    6.21760278744e-10   0.0008949846172211   -0.000937686253701       1.820621389399    0.003588931174123      0.8694849699878     0.04959800349962                    0                    0                    0                    0
         "BPM.19L3.B1"          2657.815347                    1     0.02722644348467   6.571512518081e-10     0.01919801663335    -0.01930583803334    0.001290605148376    8.80180726439e-10  -0.0008161024596967  -0.0009998191958006       1.833671199981     0.00357818706199      0.6397173509693     0.04954282367284                    0                    0                    0                    0
         "BPM.18L3.B1"          2711.263863                    1     0.02722607982648   5.825665483492e-10     0.01702007236605    -0.02125033080619    0.001289844567274   6.509731981674e-10   -0.001071647234279   0.0007178239428921       1.797869026507    0.003591924091362       0.405225861625      0.0495385301759                    0                    0                    0                    0
         "BPM.17L3.B1"          2764.712379                    1     0.02722056879228   6.258259508724e-10      0.0204113594913    -0.01800932450406    0.001287292097446   7.626234535789e-10   0.0007646852555439    0.001035556567311       1.855441157629    0.003597080424468      0.1484601685914     0.04951069648866                    0                    0                    0                    0
         "BPM.16L3.B1"          2818.160894                    1     0.02722342839069    8.85878831154e-10     0.01580468462634     -0.0221658971667    0.001288288252534   8.526665816339e-10    0.001001550724404  -0.0008102979501784       1.779215434624    0.003591265190603      0.8898881225761     0.04936758473618                    0                    0                    0                    0
         "BPM.15L3.B1"           2871.60941                    1     0.02721387643443   1.116305246957e-09     0.01666210712069    -0.02151672040268     0.00129364009273   1.534042672446e-09   -0.000693770128979   -0.001091873480608        1.79240078338    0.003601156634327      0.6585432237138     0.04947384513831                    0                    0                    0                    0
         "BPM.14L3.B1"          2925.057926                    1     0.02721469513976    1.30983714453e-09     0.01387396969102    -0.02341265889562    0.001294206041275   1.571197910471e-09   -0.001162213810714    0.000569410515761       1.751030962912    0.003587044564559      0.4266079473601     0.04951536720716                    0                    0                    0                    0
         "BPM.13L3.B1"          2978.506442                    1     0.02721819271534   9.746152570333e-10     0.01759838662065    -0.02076359321119    0.001295768779623   1.199929223452e-09   0.0006223572388122    0.001136524613699       1.807134724879     0.00358359844613      0.1699107820415     0.04954688627367                    0                    0                    0                    0
         "BPM.12L3.B1"          3031.954958                    1     0.02721577737958    6.56695901088e-10     0.01389752570421     -0.0233999426853    0.001294671314835   5.161360244712e-10    0.001075479551017  -0.0007207756577473       1.751358923907     0.00358715664025      0.9041494817878     0.04968765028814                    0                    0                    0                    0
