@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.31000305175799797
@ MUX %le 63.310003051758
@ Q2 %le 0.32000073242199956
@ MUY %le 61.32000073242199
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.31L4.B1"        "BPM.30L4.B1"          5349.148372          5402.596888                    1      0.1321332505613                    0           0.13208369           12.0356272
         "BPM.30L4.B1"        "BPM.29L4.B1"          5402.596888          5456.045404                    1       0.110853480514                    0           0.11088101          12.16771089
         "BPM.29L4.B1"        "BPM.28L4.B1"          5456.045404           5509.49392                    1      0.1320311486575                    0           0.13208373           12.2785919
         "BPM.28L4.B1"        "BPM.27L4.B1"           5509.49392          5562.942436                    1      0.1109008088642                    0             0.110881          12.41067563
         "BPM.27L4.B1"        "BPM.26L4.B1"          5562.942436          5616.390952                    1      0.1321318566272                    0           0.13208369          12.52155663
         "BPM.26L4.B1"        "BPM.25L4.B1"          5616.390952          5669.839468                    1      0.1108666192921                    0           0.11088102          12.65364032
         "BPM.25L4.B1"        "BPM.24L4.B1"          5669.839468          5723.287984                    1       0.132032759887                    0           0.13208374          12.76452134
         "BPM.24L4.B1"        "BPM.23L4.B1"          5723.287984            5776.7365                    1       0.110894998964                    0           0.11088101          12.89660508
         "BPM.23L4.B1"        "BPM.22L4.B1"            5776.7365          5830.185015                    1      0.1321413724864                    0           0.13208369          13.00748609
         "BPM.22L4.B1"        "BPM.21L4.B1"          5830.185015          5883.633531                    1      0.1108703724799                    0           0.11088101          13.13956978
         "BPM.21L4.B1"        "BPM.20L4.B1"          5883.633531          5937.082047                    1      0.1327290074471                    0           0.13278801          13.25045079
         "BPM.20L4.B1"        "BPM.19L4.B1"          5937.082047          5990.530563                    1      0.1082522830378                    0           0.10824905           13.3832388
         "BPM.19L4.B1"        "BPM.18L4.B1"          5990.530563          6043.979079                    1      0.1273632112681                    0           0.12731159          13.49148785
         "BPM.18L4.B1"        "BPM.17L4.B1"          6043.979079          6097.427595                    1      0.1102504129394                    0           0.11024388          13.61879944
         "BPM.17L4.B1"        "BPM.16L4.B1"          6097.427595          6150.876111                    1      0.1330464942539                    0           0.13309986          13.72904332
         "BPM.16L4.B1"        "BPM.15L4.B1"          6150.876111          6204.324627                    1      0.1088938960493                    0             0.108901          13.86214318
         "BPM.15L4.B1"        "BPM.14L4.B1"          6204.324627          6257.773143                    1      0.1271720412998                    0           0.12711637          13.97104418
         "BPM.14L4.B1"        "BPM.13L4.B1"          6257.773143          6311.221659                    1       0.109570115388                    0           0.10955529          14.09816055
         "BPM.13L4.B1"        "BPM.12L4.B1"          6311.221659          6364.670174                    1      0.1311447825145                    0           0.13119911          14.20771584
         "BPM.12L4.B1"        "BPM.11L4.B1"          6364.670174           6418.11869                    1     0.09943466236104                    0           0.09945791          14.33891495
         "BPM.11L4.B1"      "BPMCS.10L4.B1"           6418.11869          6469.765401                    1      0.1108583657418                    0           0.11082654          14.43837286
       "BPMCS.10L4.B1"        "BPM.10L4.B1"          6469.765401          6469.957401                    1    0.000173149838147                    0   0.0001730700000007           14.5491994
         "BPM.10L4.B1"       "BPMCS.9L4.B1"          6469.957401          6508.830412                    1     0.06011278752779                    0           0.06008586          14.54937247
        "BPMCS.9L4.B1"         "BPM.9L4.B1"          6508.830412          6509.022412                    1   0.0005715562535501                    0   0.0005713399999987          14.60945833
          "BPM.9L4.B1"       "BPMCS.8L4.B1"          6509.022412          6549.293422                    1     0.08371632438468                    0           0.08370114          14.61002967
        "BPMCS.8L4.B1"         "BPM.8L4.B1"          6549.293422          6549.485422                    1   0.0001955383610273                    0   0.0001955500000008          14.69373081
          "BPM.8L4.B1"       "BPMCS.7L4.B1"          6549.485422          6588.357433                    1     0.05141780031065                    0            0.0514278          14.69392636
        "BPMCS.7L4.B1"         "BPM.7L4.B1"          6588.357433          6588.549433                    1   0.0003666900623616                    0   0.0003668100000009          14.74535416
          "BPM.7L4.B1"       "BPMYB.6L4.B1"          6588.549433          6685.153433                    1     0.07959533317739                    0           0.07962981          14.74572097
        "BPMYB.6L4.B1"       "BPMYA.5L4.B1"          6685.153433          6722.153433                    1     0.01537151627864                    0           0.01537186          14.82535078
        "BPMYA.5L4.B1"      "BPMWI.A5L4.B1"          6722.153433          6798.755933                    1     0.05621441587477                    0           0.05618949          14.84072264
       "BPMWI.A5L4.B1"      "BPMWA.B5L4.B1"          6798.755933          6824.619933                    1     0.01883717256237                    0           0.01882872          14.89691213
