@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.31000305175799797
@ MUX %le 63.310003051758
@ Q2 %le 0.32000073242199956
@ MUY %le 61.32000073242199
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
       "BPMCS.10R4.B1"        "BPM.10R4.B1"          7238.034465          7238.226465                    1   0.0002063712554753                    0   0.0002062800000004          16.54405087
         "BPM.10R4.B1"        "BPM.11R4.B1"          7238.226465          7290.065175                    1      0.1129551863834                    0           0.11290945          16.54425715
         "BPM.11R4.B1"        "BPM.12R4.B1"          7290.065175          7344.788691                    1      0.1341310238701                    0           0.13415212           16.6571666
         "BPM.12R4.B1"        "BPM.13R4.B1"          7344.788691          7398.237207                    1      0.1131216419951                    0           0.11317241          16.79131872
         "BPM.13R4.B1"        "BPM.14R4.B1"          7398.237207          7451.685723                    1      0.1361605979208                    0           0.13614705          16.90449113
         "BPM.14R4.B1"        "BPM.15R4.B1"          7451.685723          7505.134239                    1      0.1138827680689                    0           0.11383412          17.04063818
         "BPM.15R4.B1"        "BPM.16R4.B1"          7505.134239          7558.582755                    1       0.136128148826                    0           0.13614791           17.1544723
         "BPM.16R4.B1"        "BPM.17R4.B1"          7558.582755          7612.031271                    1      0.1137913082414                    0            0.1138341          17.29062021
         "BPM.17R4.B1"        "BPM.18R4.B1"          7612.031271          7665.479786                    1      0.1361740571129                    0           0.13614784          17.40445431
         "BPM.18R4.B1"        "BPM.19R4.B1"          7665.479786          7718.928302                    1      0.1138812323896                    0           0.11383411          17.54060215
         "BPM.19R4.B1"        "BPM.20R4.B1"          7718.928302          7772.376818                    1      0.1361282391483                    0            0.1361479          17.65443626
         "BPM.20R4.B1"        "BPM.21R4.B1"          7772.376818          7825.825334                    1       0.113782957332                    0           0.11383409          17.79058416
         "BPM.21R4.B1"        "BPM.22R4.B1"          7825.825334           7879.27385                    1      0.1361613170382                    0           0.13614782          17.90441825
