@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.30000305175799996
@ MUX %le 0.0
@ Q2 %le 0.332000732422
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.15R4.B1"        "BPM.16R4.B1"          7505.134239          7558.582755                    1       0.140811399441                    0           0.14083011          17.14025891
         "BPM.16R4.B1"        "BPM.17R4.B1"          7558.582755          7612.031271                    1       0.108226130465                    0           0.10826488          17.28108902
         "BPM.17R4.B1"        "BPM.18R4.B1"          7612.031271          7665.479786                    1       0.131379121983                    0           0.13135805           17.3893539
         "BPM.18R4.B1"        "BPM.19R4.B1"          7665.479786          7718.928302                    1      0.1195563569834                    0           0.11950844          17.52071195
         "BPM.19R4.B1"        "BPM.20R4.B1"          7718.928302          7772.376818                    1      0.1408136487006                    0           0.14083319          17.64022039
         "BPM.20R4.B1"        "BPM.21R4.B1"          7772.376818          7825.825334                    1       0.108219517102                    0           0.10826659          17.78105358
         "BPM.21R4.B1"        "BPM.22R4.B1"          7825.825334           7879.27385                    1       0.131363636429                    0           0.13135524          17.88932017
         "BPM.22R4.B1"        "BPM.23R4.B1"           7879.27385          7932.722366                    1       0.119555063875                    0           0.11950643          18.02067541
         "BPM.23R4.B1"        "BPM.24R4.B1"          7932.722366          7986.170882                    1       0.140817105127                    0           0.14083628          18.14018184
         "BPM.24R4.B1"        "BPM.25R4.B1"          7986.170882          8039.619398                    1       0.108229546164                    0           0.10826832          18.28101812
         "BPM.25R4.B1"        "BPM.26R4.B1"          8039.619398          8093.067914                    1        0.13137362792                    0           0.13135249          18.38928644
         "BPM.26R4.B1"        "BPM.27R4.B1"          8093.067914           8146.51643                    1      0.1195520588655                    0           0.11950439          18.52063893
         "BPM.27R4.B1"        "BPM.28R4.B1"           8146.51643          8199.964946                    1      0.1408194129235                    0           0.14083936          18.64014332
         "BPM.28R4.B1"        "BPM.29R4.B1"          8199.964946          8253.413461                    1       0.108222963174                    0           0.10827002          18.78098268
         "BPM.29R4.B1"        "BPM.30R4.B1"          8253.413461          8306.861977                    1       0.131358097049                    0           0.13134969           18.8892527
         "BPM.30R4.B1"        "BPM.31R4.B1"          8306.861977          8360.310493                    1       0.119555178425                    0           0.11950238          19.02060239
